title,bechdel,domgross,intgross
3:10 to Yuma,FAIL,53606916,71171825
30 Days of Night,FAIL,39568996,80276156
88 Minutes,FAIL,16930884,32955399
Across the Universe,PASS,24343673,29367143
Atonement,PASS,50980159,130200290
Becoming Jane,PASS,18663911,39364948
Beowulf,PASS,82195215,194995215
Blades of Glory,PASS,118594548,145594548
Bridge to Terabithia,PASS,82234139,137984788
Brooklyn Rules,PASS,458232,458232
Charlie Bartlett,FAIL,3950294,5295909
Charlie Wilson&#39;s War,PASS,66661095,119512771
Death at a Funeral,PASS,42739347,48977233
Diary of the Dead,PASS,952620,5394447
Disturbia,PASS,80209692,117573043
Eastern Promises,PASS,17181265,55367342
Enchanted,PASS,127706877,340384141
Fantastic Four: Rise of the Silver Surfer,FAIL,131921738,288215319
Gone Baby Gone,PASS,20300218,34619699
Hairspray,PASS,118871849,202871849
Halloween,PASS,58269151,77514401
Hannibal Rising,FAIL,27669725,80583311
Harry Potter and the Order of the Phoenix,PASS,292004738,942943935
Hitman,FAIL,39687694,99965792
Hostel: Part II,PASS,17544812,33606409
Hot Fuzz,FAIL,23618786,81742618
Hot Rod,FAIL,13938332,14334401
I Am Legend,PASS,256393010,585410052
Into the Wild,FAIL,18354356,56395211
Juno,PASS,143495265,231450102
Knocked Up,PASS,148761765,219154490
Lars and the real Girl,PASS,5956480,10553442
Live Free or Die Hard,FAIL,134529403,383531464
Michael Clayton,FAIL,49033882,92987651
Music and Lyrics,FAIL,50572589,145021477
No Country for Old Men,FAIL,74273505,164051250
No Reservations,PASS,43107979,91665799
Paranormal Activity,FAIL,107918810,194183034
Persepolis,PASS,4443403,22742498
Pirates of the Caribbean: At World&#39;s End,PASS,309420425,960996492
Premonition,PASS,47852604,81461343
Ratatouille,FAIL,206445654,626549695
Resident Evil: Extinction,PASS,50648679,146162920
Rush Hour 3,FAIL,140125968,253025968
Shooter,FAIL,47003582,95703582
Shrek the Third,PASS,322719944,807330936
St. Trinian&#39;s,PASS,15000,22446568
Stardust,PASS,38634938,135556675
Sunshine,FAIL,3688560,32030610
Superbad,FAIL,121463226,169863226
Sydney White,PASS,11892415,13636339
Teeth,FAIL,347578,2350641
The Bucket List,FAIL,93466502,174310293
The Golden Compass,PASS,70107728,372234864
The Kite Runner,FAIL,15800078,74180745
The Man from Earth,FAIL,#N/A,#N/A
The Messengers,PASS,35374833,53774833
The Mist,PASS,25593755,54777490
The Number 23,FAIL,35193167,77593167
The Savages,PASS,6623082,10642023
The Signal,FAIL,251150,406299
The Simpsons Movie,PASS,183135014,527071022
The Visitor,FAIL,9427026,19174817
There Will Be Blood,FAIL,40222514,77208711
TMNT,FAIL,54149098,96096018
Transformers,FAIL,319246193,708272592
Tropa de Elite,PASS,8744,14319195
Waitress,PASS,19097550,22217183
We Own the Night,FAIL,28563179,55307857
White Noise 2: The Light,FAIL,#N/A,8243567
300,FAIL,210614939,454161935
A Scanner Darkly,FAIL,5501616,7405084
Akeelah and the Bee,PASS,18848430,18959424
Aquamarine,PASS,18597342,22978953
Bandidas,PASS,#N/A,18400000
Black Christmas,PASS,16235738,16235738
Blood Diamond,FAIL,57377916,171377916
"Bon Cop, Bad Cop",FAIL,12671300,12671300
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,FAIL,128505958,261572744
Bug,PASS,7006708,7006708
Cars,FAIL,244082982,461667967
Casino Royale,FAIL,167365000,596365000
Children of Men,PASS,35552383,69450202
Clerks II,FAIL,24148068,25894473
Crank,FAIL,27838408,43924923
Das Leben Der Anderen,FAIL,11284657,81197047
DOA: Dead or Alive,PASS,480314,7756224
El laberinto del fauno (Pan's Labyrinth),PASS,37634615,87041569
Eragon,FAIL,75030163,249488115
Fido,FAIL,298110,419801
Final Destination 3,PASS,54098051,112798051
Flushed Away,FAIL,64665672,177665672
For Your Consideration,PASS,5549923,5549923
Friends with Money,PASS,13368437,17518322
Ice Age: The Meltdown,FAIL,195330621,651899282
Idlewild,PASS,12669914,12669914
Inside Man,FAIL,88634237,184634237
Jackass Number Two,FAIL,72778712,85278712
Lady in the Water,FAIL,42285169,72785169
Last Holiday,PASS,38399961,43343247
Letters from Iwo Jima,FAIL,13756082,68756082
Little Children,PASS,5463019,14763019
Little Miss Sunshine,PASS,59891098,100550977
London To Brighton,PASS,#N/A,610776
Lucky Number Slevin,FAIL,22495466,55495466
Man of the Year,FAIL,37442180,41342180
Marie Antoinette,PASS,15962471,60862471
Miss Potter,PASS,3005605,35891257
Monster House,PASS,73661010,141267370
Nacho Libre,FAIL,80197993,99296462
Night at the Museum,PASS,250863268,574480841
Notes on a Scandal,PASS,17510118,49752391
Once,FAIL,9445857,18997174
Open Season,FAIL,85105259,189901703
Paris je t&#39;aime,FAIL,4857374,4857374
Perfume: The Story of a Murderer,PASS,2223293,133603463
Pirates of the Caribbean: Dead Man&#39;s Chest,FAIL,423315812,1060615812
Poseidon,FAIL,60674817,181674817
Quinceanera,PASS,1692693,2522787
Rang De Basanti,PASS,2197694,29197694
Running with Scissors,PASS,6860000,8706701
She&#39;s the Man,FAIL,33889159,55279608
Sherrybaby,FAIL,199176,622806
Shortbus,PASS,1985292,1985292
Silent Hill,PASS,46982632,99982632
Slither,PASS,7802450,12930343
Smokin&#39; Aces,FAIL,35662731,56047261
Snakes on a Plane,PASS,34020814,62020814
Southland Tales,PASS,275380,364607
Stick It,PASS,26910736,30399714
Stranger Than Fiction,PASS,40435190,45235190
Superman Returns,FAIL,200120000,390874000
Take the Lead,PASS,34742066,65390493
The Ant Bully,FAIL,28142535,49610898
The Break Up,FAIL,118806699,202944203
The Da Vinci Code,FAIL,217536138,767820459
The Dead Girl,PASS,19875,19875
The Departed,FAIL,133311000,290539042
The Devil Wears Prada,PASS,124740460,326551094
The Fountain,FAIL,10144010,15461638
The Grudge 2,PASS,39143839,70743839
The History Boys,FAIL,2730296,13425589
The Holiday,PASS,63280000,205190324
The Host,PASS,26623701,58188384
The Illusionist,FAIL,39868642,83792062
The Lake House,FAIL,52330111,114830111
The Painted Veil,FAIL,8060487,15118795
The Prestige,FAIL,53089891,107896006
The Pursuit of Happyness,FAIL,162586036,307325633
The Queen,FAIL,56441711,128885873
The Wind That Shakes the Barley,FAIL,1829142,25670174
Ultraviolet,FAIL,18522064,20722064
Volver,PASS,12899867,85599867
We Are Marshall,FAIL,43545364,43545364
When a Stranger Calls,PASS,47860214,66944472
Wristcutters: A Love Story,FAIL,446165,460136
X-Men: The Last Stand,PASS,234362462,459359555
"You, Me and Dupree",FAIL,75802010,130402010
Zoom,PASS,11989328,12506188
Zwartboek,PASS,4398532,27238354
AEon Flux,PASS,25857987,47953341
Assault on Precinct 13,PASS,20040895,36040895
Batman Begins,FAIL,205343774,373298774
Beauty Shop,PASS,36351350,38351350
Bewitched,PASS,63313159,131159306
BloodRayne,FAIL,2405420,3605420
Boogeyman,FAIL,46752382,67192859
Boynton Beach Club,PASS,3127472,3127472
Brick,FAIL,2075743,4087493
Brokeback Mountain,FAIL,83043761,174097801
Capote,FAIL,28750530,49924079
Charlie and the Chocolate Factory,PASS,206459076,474459076
Chinjeolhan geumjassi,PASS,211667,23471871
Cinderella Man,FAIL,61649911,108539911
Coach Carter,PASS,67264877,76669806
Constantine,FAIL,75976178,230884728
Conversations with Other Women,FAIL,379418,909061
Corpse Bride,FAIL,53359111,114770654
Cursed,PASS,19294901,25114901
Danny the dog,FAIL,24537621,49037621
Dark Water,PASS,25473093,49473093
Dear Wendy,FAIL,23106,446438
Domino,PASS,10169202,22969202
Doom,FAIL,28212337,54612337
Fantastic Four,FAIL,154696080,330717080
Flightplan,PASS,89706988,225706988
Fun with Dick and Jane,PASS,110550000,201798116
"Good Night, and Good Luck.",FAIL,31501218,56586901
Hard Candy,PASS,1024640,8267066
Harry Potter and the Goblet of Fire,FAIL,290013036,896911078
Herbie Fully Loaded,PASS,66010682,144110682
Hide and Seek,PASS,51100486,123100486
Hitch,FAIL,177784257,366784257
Hoodwinked!,PASS,51386611,109843390
Hostel,FAIL,47326473,82241110
Hustle &amp; Flow,FAIL,22202809,23563727
Ice Princess,PASS,24381334,25732334
Jarhead,FAIL,62647540,96947540
Junebug,PASS,2678010,3557954
Just Like Heaven,PASS,48318130,100687083
King Kong,FAIL,218080025,550517357
Kingdom of Heaven,FAIL,47398413,218853353
Kiss Kiss Bang Bang,FAIL,4235837,13105837
Lord of War,FAIL,24149632,62142629
Madagascar,FAIL,193595521,556559566
Man of the House,PASS,19699706,22099706
Match Point,PASS,23089926,87989926
Me and You and Everyone We Know,PASS,3885134,8425527
Memoirs of a Geisha,PASS,57010853,161510853
MirrorMask,PASS,864959,963224
Miss Congeniality 2: Armed &amp; Fabulous,PASS,48478006,101382396
Mr. &amp; Mrs. Smith,FAIL,186336279,478336279
Munich,FAIL,47379090,130279090
North Country,PASS,18324242,25224242
Oliver Twist,FAIL,2070920,26670920
Pride and Prejudice,PASS,38372662,120918508
Proof,PASS,7535331,8284331
Red Eye,PASS,57891803,95555805
Rent,PASS,29077547,31670620
Robots,FAIL,128200012,260700012
Saw II,FAIL,87025093,152925093
Serenity,PASS,25514517,38514517
Shopgirl,FAIL,10284523,11758418
Sin City,PASS,74103820,158753820
Sisters in Law,PASS,33312,33312
Sky High,PASS,63939454,81627454
Son of the Mask,FAIL,17018422,59918422
Star Wars: Episode III - Revenge of the Sith,FAIL,380270577,848998877
Stealth,FAIL,32116746,76416746
Strangers with Candy,PASS,2072645,2077844
Thank You for Smoking,FAIL,24793509,40016662
The 40 Year Old Virgin,FAIL,109449237,177360047
The Adventures of Sharkboy and Lavagirl 3-D,FAIL,39177684,69425966
The Amityville Horror,PASS,65233369,109175673
The Ballad of Jack and Rose,PASS,712294,1126258
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PASS,291710957,748806957
The Constant Gardener,PASS,33579798,81079798
The Descent,PASS,26024456,57029609
The Devil&#39;s Rejects,PASS,17044981,20940428
The Exorcism of Emily Rose,PASS,75072454,144587700
The Fog,PASS,29511112,37048526
The Hitchhiker&#39;s Guide to the Galaxy,FAIL,51019112,104019112
The Island,PASS,35818913,163018913
The Jacket,FAIL,6301131,15452978
The Legend of Zorro,FAIL,45575336,141475336
The New World,FAIL,12712093,26184400
The Ring Two,PASS,75941727,161941727
The Skeleton Key,PASS,47907715,92256918
The Squid and the Whale,FAIL,7372734,11191423
The Wedding Date,PASS,31726995,47175038
Transamerica,PASS,9015303,16553163
Tristram Shandy: A Cock and Bull Story,FAIL,1253413,3061763
V for Vendetta,PASS,70511035,129231542
Waiting...,PASS,16124543,18673274
Walk the Line,PASS,119519402,187707495
War of the Worlds,FAIL,234280354,606836535
Water,PASS,5529144,8119205
White Noise,FAIL,56094360,92094360
"Yours, Mine and Ours",PASS,53359917,72359917
Zathura: A Space Adventure,FAIL,28045540,58545540
13 Going on 30,PASS,57139723,96439723
2046,PASS,1442338,19202856
50 First Dates,FAIL,120776832,196324496
A Cinderella Story,PASS,51438175,70067909
A Home at the End of The World,FAIL,1029017,1033810
A Very Long Engagement,PASS,6167817,59606587
Anchorman: The Legend of Ron Burgundy,FAIL,84136909,89366354
Around the World in 80 Days,FAIL,24004159,72004159
AVP: Alien vs. Predator,FAIL,80281096,172543519
Banlieue 13,FAIL,1200216,11208291
Before Sunset,FAIL,5792822,11293790
Bridget Jones: The Edge of Reason,PASS,40203020,263894551
Catwoman,PASS,40202379,82145379
Cellular,PASS,32003620,61475984
Closer,PASS,33987757,115476509
Collateral,FAIL,100170152,217670152
Connie and Carla,PASS,8047525,8047525
Crash,PASS,55334418,101173038
D.E.B.S.,PASS,96793,96793
Dawn of the Dead,PASS,58990765,103452875
Dodgeball: A True Underdog Story,PASS,114326736,167791704
Ella Enchanted,PASS,22913677,22913677
Eternal Sunshine of the Spotless Mind,FAIL,34366518,72993444
Eulogy,PASS,70527,70527
Finding Neverland,PASS,51676606,115036108
Flight of the Phoenix,FAIL,21009180,34009180
Garden State,PASS,26782316,36028802
Harold and Kumar Go to White Castle,PASS,18225165,18225165
Harry Potter and the Prisoner of  Azkaban,PASS,249538952,796688549
Hellboy,FAIL,59623958,99823958
Home on the Range,PASS,50026353,76482461
I Heart Huckabees,PASS,12784713,20034713
"I, Robot",FAIL,144801023,348601023
In Good Company,FAIL,45489752,63489752
Kinsey,PASS,10214647,13000959
Kung Fu Hustle,FAIL,17104669,101004669
Layer Cake,FAIL,2339957,11850214
Lemony Snicket&#39;s A Series of Unfortunate Events,PASS,118627117,201627117
Maria Full of Grace,PASS,6529624,14441158
Mean Girls,PASS,86047227,130953026
Million Dollar Baby,PASS,100492203,232016402
Miracle,FAIL,64378093,64474705
My Summer of Love,PASS,1000915,4951476
Napoleon Dynamite,FAIL,44540956,46122713
New York Minute,FAIL,14018364,21215882
Primer,FAIL,424760,565846
Raising Helen,PASS,37485528,43340302
Ray,FAIL,75305995,124823094
Resident Evil: Apocalypse,PASS,50740078,128940078
Saved!,PASS,8886160,10228228
Saw,FAIL,55185045,103096345
Secret Window,FAIL,47958031,92111551
Shark Tale,FAIL,161412000,367825111
Shaun of the Dead,PASS,13542874,30332385
Shrek 2,PASS,441226247,937008132
Sideways,PASS,71502303,109874155
Sky Captain and the World of Tomorrow,PASS,37760080,49730854
Spanglish,PASS,42044321,54344321
Spider-Man 2,FAIL,373524485,783705001
Team America: World Police,FAIL,32774834,50274834
The Aviator,FAIL,102608827,214608827
The Bourne Supremacy,FAIL,176087450,288587450
The Butterfly Effect,FAIL,57924679,96046844
The Chronicles of Riddick,FAIL,57712751,107212751
The Day After Tomorrow,PASS,186740799,556319450
The Grudge,PASS,110359362,187281115
The Incredibles,PASS,261441092,632107545
The Life Aquatic with Steve Zissou,FAIL,24006726,34806726
The Notebook,FAIL,81001787,102276787
The Phantom of the Opera,FAIL,51225796,158225796
The Polar Express,FAIL,194949659,319049659
The Princess Diaries 2: Royal Engagement,PASS,95149435,122071435
The Stepford Wives,PASS,59475623,96221971
The Terminal,FAIL,77073959,218673959
The Village,PASS,114197520,257641634
The Whole Ten Yards,FAIL,16323969,26323969
Troy,FAIL,133298577,484161265
Van Helsing,PASS,120150546,300150546
Vera Drake,PASS,3753806,13353855
White Chicks,PASS,69148997,111448997
Wimbledon,PASS,16862585,41666476
2 Fast 2 Furious,FAIL,127120058,236220058
21 grams,FAIL,16248701,59667625
Big Fish,FAIL,66432867,123432867
Bon voyage,PASS,2353728,8361736
Bruce Almighty,PASS,242704995,483473962
Charlie&#39;s Angels: Full Throttle,PASS,100814328,227200000
Cold Mountain,PASS,95632614,161632614
Cradle 2 the Grave,FAIL,34657731,56434942
Daddy Day Care,PASS,104148781,164285587
Daredevil,FAIL,102543518,182782518
Darkness Falls,FAIL,32539681,32539681
Dreamcatcher,FAIL,33685268,75685268
Final Destination 2,PASS,46896664,90396664
Finding Nemo,FAIL,380529370,906465556
Freaky Friday,PASS,110222438,160822438
Girl with a Pearl Earring,PASS,11634362,43281552
Goodbye Lenin!,PASS,4063859,79384539
Holes,FAIL,67383924,72383924
Hollywood Homicide,FAIL,30207785,51107785
House of Sand and Fog,PASS,13005485,16157923
How to Lose a Guy in 10 Days,FAIL,105807520,177079973
Hulk,FAIL,132177234,245229234
Identity,FAIL,52131264,82183683
In the Cut,PASS,4717455,23693646
Jeepers Creepers II,PASS,35623801,35623801
Kill Bill: Vol. 1,PASS,70098138,180098138
Lara Croft Tomb Raider: The Cradle of Life,FAIL,65653758,156453758
"Legally Blonde 2: Red, White &amp; Blonde",PASS,90639088,125339088
Les triplettes de Belleville,PASS,7301288,14440113
Lost In Translation,FAIL,44585453,112550685
Love Actually,PASS,59472278,247967903
Master and Commander: The Far Side of the World,FAIL,93926386,212912137
Mona Lisa Smile,PASS,63803100,141205169
Monster,PASS,34469210,58003694
Mystic River,PASS,90135191,156835191
Peter Pan,PASS,48417850,95255485
Pirates of the Caribbean: The Curse of the Black Pearl,FAIL,305411224,634954103
Pride and Prejudice,PASS,38372662,120918508
S.W.A.T.,PASS,116877597,207154748
Scary Movie 3,PASS,110000082,155200000
Secondhand Lions,FAIL,42070939,47902566
Shanghai Knights,FAIL,60470220,88316835
Shattered Glass,FAIL,2207975,2932719
Sinbad: Legend of the Seven Seas,FAIL,26483452,80767884
Something&#39;s Gotta Give,FAIL,124685242,266685242
Spy Kids 3-D: Game Over,PASS,111760631,167851995
Swimming Pool,PASS,10130108,22441323
Terminator 3: Rise of the Machines,PASS,150358296,433058296
The Core,PASS,31111260,74132631
The Italian Job,FAIL,106126012,176262839
The Jungle Book 2,FAIL,47901582,135703599
The Last Samurai,FAIL,111110575,456810575
The League of Extraordinary Gentlemen,FAIL,66465204,179265204
The Lord of the Rings: The Return of the King,FAIL,377845905,1141408667
The Matrix Reloaded,PASS,281553689,738576929
The Matrix Revolutions,PASS,139259759,424259759
The Missing,PASS,26900336,38253433
The School of Rock,FAIL,81261177,131161177
Thirteen,PASS,4601043,9505996
Timeline,FAIL,19480739,26703184
Undead,PASS,41196,229250
Underworld,FAIL,51970690,95708457
Wrong Turn,PASS,15417771,28649556
X2 (X-Men 2),PASS,214949694,407711549
25th Hour,FAIL,13084595,25344490
28 Days Later...,PASS,45064915,82955633
8 femmes,PASS,3076425,42376425
8 Mile,FAIL,116724075,242924075
About Schmidt,FAIL,65005217,105823486
Adaptation,FAIL,22498520,22498520
All or Nothing,PASS,184255,184255
Antwone Fisher,FAIL,21078145,23367586
Austin Powers in Goldmember,FAIL,213117789,292738626
Bend It Like Beckham,PASS,32543449,76730377
Blade II,FAIL,81676888,154338601
Blue Crush,PASS,40118420,51618420
Cabin Fever,PASS,21158188,30351664
Carrie,PASS,35266619,85001659
Catch Me If You Can,FAIL,164606800,351106800
Chicago,PASS,170687518,307687518
Crossroads,PASS,37188667,57000000
Death to Smoochy,FAIL,8355815,8374062
Die Another Day,FAIL,160942139,431942139
Drumline,FAIL,56398162,56398162
Equilibrium,FAIL,1190018,5345869
Far from Heaven,PASS,15901849,29027914
Frida,FAIL,25885000,55710675
Funny Ha Ha,PASS,77070,77070
Gangs of New York,FAIL,77730500,190400000
Gerry,FAIL,254683,254683
Harry Potter and the Chamber of Secrets,PASS,261987880,878979634
High Crimes,PASS,41543207,63781100
I Spy,FAIL,33561137,60279822
Ice Age,FAIL,176387405,386116343
Igby Goes Down,FAIL,4777465,4777465
Insomnia,FAIL,67263182,113622499
Lilo and Stitch,PASS,145771527,245800000
Maid in Manhattan,PASS,93932896,163838217
May,PASS,145540,497339
Men in Black II,FAIL,190418803,441767803
Minority Report,FAIL,132024714,358824714
Mr Deeds,FAIL,126293452,171269535
My Big Fat Greek Wedding,PASS,241438208,352242522
Panic Room,PASS,95308367,196308367
Phone Booth,FAIL,46566212,97837138
Queen of the Damned,PASS,30307804,30307804
Rabbit-Proof Fence,PASS,6199600,16866928
Real Women Have Curves,PASS,5853194,5853194
Red Dragon,FAIL,92955420,206455420
Reign of Fire,FAIL,43061982,82150183
Resident Evil,PASS,40119709,103787401
Scooby-Doo,PASS,153294164,276294164
Signs,FAIL,227965690,408265690
Snow Dogs,FAIL,81150692,116898028
Solaris,FAIL,14970038,14970038
Spider-Man,FAIL,403706375,821565375
Spirit: Stallion of the Cimarron,FAIL,73215310,106515310
Spun,PASS,410241,1022649
Spy Kids 2: Island of Lost Dreams,PASS,85846296,119721296
Star Trek: Nemesis,FAIL,43254409,67312826
Star Wars: Episode II - Attack of the Clones,FAIL,310676740,656695615
The Adventures of Pluto Nash,FAIL,4411102,7094995
The Banger Sisters,PASS,30306281,38067218
The Bourne Identity,FAIL,121468960,213300000
The Dangerous Lives of Altar Boys,FAIL,1779284,1779284
The Good Girl,PASS,14018296,16856124
The Hours,PASS,41675994,97030468
The Importance of Being Earnest,PASS,8378141,8378141
The Lord of the Rings: The Two Towers,FAIL,342548984,927048984
The Powerpuff Girls,PASS,11411644,16425701
The Quiet American,FAIL,12987647,26348203
The Ring,PASS,129094024,248218486
The Rules of Attraction,FAIL,6525762,11799060
The Santa Clause 2,FAIL,139225854,172825854
The Sweetest Thing,PASS,24430272,44633441
The Transporter,FAIL,25296447,43928932
The Tuxedo,FAIL,50586000,104429625
Treasure Planet,FAIL,38120554,91800000
Tuck Everlasting,PASS,19161999,19344615
Two Weeks Notice,PASS,93354918,199043309
We Were Soldiers,PASS,78120196,114658262
Whale Rider,PASS,20779666,39892476
White Oleander,PASS,16357770,21657770
xXx,FAIL,141930000,267200000
A Beautiful Mind,FAIL,170708996,317668058
A Knight&#39;s Tale,FAIL,56083966,100622586
Along Came A Spider,PASS,74058698,105159085
American Outlaws,FAIL,13264986,13264986
Antitrust,FAIL,10965209,17865209
Artificial Intelligence: AI,FAIL,78616689,235900000
Atlantis: The Lost Empire,FAIL,84052762,186049020
Black Hawk Down,FAIL,108638745,159691085
Blow,FAIL,52990775,83282296
Bridget Jones&#39;s Diary,PASS,71500556,281527158
Don&#39;t Say A Word,PASS,54997476,104488383
Donnie Darko,FAIL,1270522,7696529
Dr. Dolittle 2,PASS,112950721,176101721
Evolution,PASS,38311134,98341932
From Hell,FAIL,31598308,68712365
Ghost World,PASS,6217849,8761608
Gosford Park,PASS,41300105,41300105
Hannibal,PASS,165092266,350100280
Harry Potter and the Sorcerer&#39;s Stone,PASS,317575550,974755371
Hedwig and the Angry Inch,PASS,3067312,3643900
High Heels and Low Lifes,PASS,226792,226792
Impostor,FAIL,6114237,6114237
Jason X,PASS,13121555,16951798
Jay and Silent Bob Strike Back,PASS,30059386,33762400
Jeepers Creepers,PASS,37904175,58939035
Josie and the Pussycats,PASS,14252830,14252830
Kate &amp; Leopold,FAIL,47095453,70937778
Kiss of the Dragon,FAIL,36833473,36833473
Kissing Jessica Stein,PASS,7025722,8831884
L.I.E.,FAIL,1140965,1140965
Lara Croft: Tomb Raider,FAIL,131144183,274644183
Legally Blonde,PASS,96493426,141809235
Lovely and Amazing,PASS,4210379,4695781
Monkeybone,FAIL,5409517,5409517
Monsoon Wedding,PASS,13876974,27025600
"Monsters, Inc.",FAIL,289423425,559757719
Moulin Rouge!,PASS,57386369,179213196
Mulholland Dr.,PASS,7219578,11919578
Nowhere in Africa,PASS,6173485,6173485
Ocean&#39;s Eleven,FAIL,183417150,450728529
Osmosis Jones,FAIL,13596911,13596911
Pearl Harbor,FAIL,198539855,449239855
Save the Last Dance,PASS,91038276,131638276
Shallow Hal,PASS,70836296,70836296
Shaolin Soccer,FAIL,488872,42776032
Shrek,FAIL,267655011,491812794
Someone Like You...,PASS,27338033,38684906
Spy Kids,PASS,112692062,197692062
Super Troopers,FAIL,18492362,23046142
The Fast and the Furious,FAIL,144512310,206512310
The Glass House,PASS,17951431,22861785
The Legend of Suriyothai,PASS,454255,454255
The Lord of the Rings: The Fellowship of the Ring,FAIL,315544750,887217688
The Majestic,FAIL,27796042,37306334
The One,FAIL,43905746,43905746
The Others,PASS,96522687,209947037
The Princess Diaries,PASS,108244774,165334774
The Royal Tenenbaums,PASS,52353636,71430876
The Wedding Planner,PASS,60400856,94728529
Thir13en Ghosts,FAIL,41867960,68467960
Training Day,FAIL,76261036,104505362
Valentine,FAIL,20384136,20384136
Vanilla Sky,FAIL,100614858,202726605
Zoolander,PASS,45172250,60780981
28 Days,PASS,37035515,62063972
Almost Famous,PASS,32522352,47371191
American Psycho,FAIL,15070285,28674417
Beautiful Creatures,PASS,19452138,55940671
Best in Show,PASS,18621249,20695413
Billy Elliot,PASS,21995263,109280263
Boiler Room,FAIL,16963963,28773637
Bring It On,PASS,68353550,90453550
Cast Away,FAIL,233632142,427230516
Cecil B. Demented,PASS,1276984,1953882
Center Stage,PASS,17200925,17200925
Charlie&#39;s Angels,PASS,125305545,259736090
Chicken Run,PASS,106793915,227793915
Chocolat,PASS,71309760,152500343
Coyote Ugly,FAIL,60786269,115786269
Dancer in the Dark,PASS,4157491,45557491
"Dude, Where&#39;s My Car",FAIL,46729374,73180297
Dune,PASS,27447471,27447471
Erin Brockovich,PASS,125548685,257805243
Final Destination,FAIL,53302314,112036870
Gladiator,FAIL,187683805,457683805
Gone in Sixty Seconds,FAIL,101643008,232643008
High Fidelity,FAIL,27277055,47881663
Hollow Man,PASS,73209340,191200000
Little Nicky,FAIL,39442871,58270391
Love &amp; Basketball,PASS,27441122,27709625
Meet the Parents,FAIL,166225040,304599899
Memento,FAIL,25544867,39723096
Miss Congeniality,PASS,106807667,213420951
Mission to Mars,FAIL,60874615,106000000
"O Brother, Where Art Thou?",FAIL,45506619,75763814
Pitch Black,PASS,39235088,53182088
Pokemon: The Movie 2000,FAIL,43746923,133946923
Red Planet,FAIL,17480890,33463969
Remember the Titans,FAIL,115654751,136706683
Requiem for a Dream,PASS,3635482,7390108
Return to Me,FAIL,32662299,32662299
Romeo Must Die,FAIL,55973336,91036760
Rugrats in Paris:,PASS,76501438,103284813
Saving Grace,PASS,12178602,27786849
Scream 3,PASS,89138076,161838076
Sexy Beast,FAIL,6946056,10154577
Shanghai Noon,FAIL,56932305,71189835
Snatch.,FAIL,30093107,83593107
Songcatcher,PASS,3050934,3050934
The Beach,FAIL,39778599,39778599
The Cell,FAIL,61280963,85911226
The Emperor&#39;s New Groove,PASS,89296573,169296573
The Gift,FAIL,12008642,44567606
The Patriot,FAIL,113330342,215300000
The Road to El Dorado,FAIL,50802661,65700000
The Way of the Gun,FAIL,6047856,13061935
The Whole Nine Yards,PASS,57262492,85527867
Thirteen days,FAIL,34566746,66554547
Titan A.E.,PASS,22751979,36751979
Unbreakable,FAIL,94999143,248099143
Urbania,FAIL,1032075,1032075
Vertical Limit,FAIL,68473360,213500000
What Lies Beneath,PASS,155464351,288693989
What Women Want,FAIL,182805123,372100000
Where the Heart Is,PASS,33771174,40862054
"Wo hu cang long (Crouching Tiger, Hidden Dragon)",PASS,128067808,213200000
X-Men,FAIL,157299717,296339717
10 Things I Hate About You,PASS,38177966,60414025
8MM,FAIL,36443442,96398826
American Beauty,PASS,130058047,356258047
American Pie,FAIL,101800948,234723148
Analyze This,FAIL,106885658,176885658
Anna and the King,FAIL,39251128,39251128
Anywhere But Here,FAIL,18653615,18653615
Austin Powers: The Spy Who Shagged Me,FAIL,206040085,310332636
Being John Malkovich,PASS,22858926,32382381
Black and White,PASS,5241315,5241315
Blue Streak,FAIL,68208190,117448157
Boys Don&#39;t Cry,PASS,11540607,20741000
But I&#39;m a Cheerleader,PASS,2205627,2629191
Carrie 2: The Rage,PASS,17760244,17760244
Cruel Intentions,PASS,38230075,75803716
Dick,PASS,6276869,6276869
Dogma,FAIL,30651422,43948865
Drop Dead Gorgeous,PASS,10571408,10571408
Election,PASS,14943582,17202854
Eyes Wide Shut,PASS,55691208,86257553
Fight Club,FAIL,37030102,100853753
Flawless,FAIL,4485485,4485485
For Love of the Game,FAIL,35188640,46112640
Galaxy Quest,FAIL,71423726,90523726
"Girl, Interrupted",PASS,28871190,28871190
Go!,PASS,16875273,28383441
Jawbreaker,PASS,3076820,3076820
Magnolia,FAIL,22450975,48446802
Muppets From Space,PASS,16304786,16304786
Mystery Men,FAIL,29762011,33462011
Notting Hill,PASS,116089678,363728226
Office Space,FAIL,10827813,12827813
Payback,FAIL,81526121,161626121
Pocket Monsters: Mewtwo Strikes Back!,FAIL,85744662,163644662
Ravenous,FAIL,2062406,2062406
Sleepy Hollow,PASS,101068340,207068340
South Park: Bigger Longer &amp; Uncut,FAIL,52037603,52037603
Star Wars: Episode I - The Phantom Menace,PASS,474544677,1007044677
Stuart Little,FAIL,140015224,298800000
Tarzan,FAIL,171091819,448191819
The 13th Warrior,FAIL,32698899,61698899
The Blair Witch Project,PASS,140539099,248300000
The Boondock Saints,FAIL,30471,411874
The Green Mile,FAIL,136801374,290701374
The Haunting,PASS,91188905,180188905
The Iron Giant,FAIL,23159305,31333917
